booth_num,path_id,center_svg_x,center_svg_y,svgPoints,coords
1,path1051,512.48,123.28,"507.2,118.08 507.2,128.48 517.76,128.48 517.76,118.08","[[130.21,507.2],[119.81,507.2],[119.81,517.76],[130.21,517.76]]"
2,path1198,512.48,134.08,"507.2,128.8 507.2,139.36 517.76,139.36 517.76,128.8","[[119.49,507.2],[108.93,507.2],[108.93,517.76],[119.49,517.76]]"
3,path1200,512.4,173.36,"507.2,168.16 507.2,178.56 517.6,178.56 517.6,168.16","[[80.13,507.2],[69.73,507.2],[69.73,517.6],[80.13,517.6]]"
4,path1202,512.4,162.56,"507.2,157.28 507.2,167.84 517.6,167.84 517.6,157.28","[[91.01,507.2],[80.45,507.2],[80.45,517.6],[91.01,517.6]]"
5,path1204,512.32,194.08,"507.04,188.8 507.04,199.36 517.6,199.36 517.6,188.8","[[59.49,507.04],[48.93,507.04],[48.93,517.6],[59.49,517.6]]"
6,path1206,512.32,204.88,"507.04,199.68 507.04,210.08 517.6,210.08 517.6,199.68","[[48.61,507.04],[38.21,507.04],[38.21,517.6],[48.61,517.6]]"
7,path1208,512.32,215.76,"507.04,210.56 507.04,220.96 517.6,220.96 517.6,210.56","[[37.73,507.04],[27.33,507.04],[27.33,517.6],[37.73,517.6]]"
8,path1210,512.32,226.56,"507.04,221.28 507.04,231.84 517.6,231.84 517.6,221.28","[[27.01,507.04],[16.45,507.04],[16.45,517.6],[27.01,517.6]]"
9,path1269,533.84,194.08,"528.64,188.8 528.64,199.36 539.04,199.36 539.04,188.8","[[59.49,528.64],[48.93,528.64],[48.93,539.04],[59.49,539.04]]"
10,path1271,533.84,204.88,"528.64,199.68 528.64,210.08 539.04,210.08 539.04,199.68","[[48.61,528.64],[38.21,528.64],[38.21,539.04],[48.61,539.04]]"
11,path1273,533.84,215.76,"528.64,210.56 528.64,220.96 539.04,220.96 539.04,210.56","[[37.73,528.64],[27.33,528.64],[27.33,539.04],[37.73,539.04]]"
12,path1275,533.84,226.56,"528.64,221.28 528.64,231.84 539.04,231.84 539.04,221.28","[[27.01,528.64],[16.45,528.64],[16.45,539.04],[27.01,539.04]]"
13,path1277,544.64,194.08,"539.36,188.8 539.36,199.36 549.92,199.36 549.92,188.8","[[59.49,539.36],[48.93,539.36],[48.93,549.92],[59.49,549.92]]"
14,path1279,544.64,204.88,"539.36,199.68 539.36,210.08 549.92,210.08 549.92,199.68","[[48.61,539.36],[38.21,539.36],[38.21,549.92],[48.61,549.92]]"
15,path1281,544.64,215.76,"539.36,210.56 539.36,220.96 549.92,220.96 549.92,210.56","[[37.73,539.36],[27.33,539.36],[27.33,549.92],[37.73,549.92]]"
16,path1283,544.64,226.56,"539.36,221.28 539.36,231.84 549.92,231.84 549.92,221.28","[[27.01,539.36],[16.45,539.36],[16.45,549.92],[27.01,549.92]]"
17,path1285,566.08,194.08,"560.8,188.8 560.8,199.36 571.36,199.36 571.36,188.8","[[59.49,560.8],[48.93,560.8],[48.93,571.36],[59.49,571.36]]"
18,path1287,566.08,204.88,"560.8,199.68 560.8,210.08 571.36,210.08 571.36,199.68","[[48.61,560.8],[38.21,560.8],[38.21,571.36],[48.61,571.36]]"
